"dataset","title","description"
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=67FDEC72-D114-4DB4-B7FA-4865EE899FD4&elementSetName=full","Präsentation - Frei verfügbare Geodaten des Landes Sachsen-Anhalt (Open Data)","Open Data – Worum geht es?
Raumbezogene Daten (Geodaten) der öffentlichen Verwaltung sollen, soweit sie keiner rechtlichen Zugangsbeschränkung unterliegen, in standardisierter, maschinenlesbarer Form über das Internet (kosten-)frei zugänglich und unter einer offenen Lizenz frei nutzbar gemacht werden."
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=81A36D07-BD83-495A-8A94-30416165C86D&elementSetName=full","Schutzgebiete (WMS-Darstellungsdienst)","Schutzgebiete gemäß Naturschutzgesetz des Landes Sachsen-Anhalt"
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=30BC0527-D4BF-4B35-83CC-5070FC995022&elementSetName=full","Schutzgebiete (WFS-Downloaddienst)","Schutzgebiete gemäß Naturschutzgesetz Sachsen-Anhalt"
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=5D33CE61-6A7B-455D-BAC4-93FC7B3EA388&elementSetName=full","Historische DOP20","Digitale Orthophotos mit einer Bodenpixelgröße von 20x20cm² (ATKIS®-DOP20) werden aus Luftbildern der Befliegungen des Landes hergestellt. Dabei werden durch Umbildung die perspektivischen Verzerrungen der Luftbilder beseitigt und ein Bild mit Parallelprojektion erzeugt, welches einen über die ganze Bildfläche einheitlichen Maßstab hat. In den Orthophotos können somit Strecken und Flächen gemessen werden. 
Dieser Datensatz stellt die Ergebnisse der vergangenen Jahre dar.
-Dieser Datensatz steht ausschließlich bei online-Abruf kostenfrei zur Verfügung.-"
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=93F84014-9A23-469D-824D-1A7B8BF0D2BF&elementSetName=full","Kartographische Präsentation des Landes Sachsen-Anhalt","Auf einer amtlichen kartographischen Grundlage basierend, bietet die Kartographische Präsentation des Landes Sachsen-Anhalt eine kompakte Darstellung der Landesfläche. Abgeleitet aus der Topographischen Übersichtskarte 1:250 000 erfolgt die Abbildung des Landes geometrisch korrekt und mit einer Farbgebung nach kartographischen Gesichtspunkten.

Mit der Darstellung von übergeordneten Landesaspekten und der Bereitstellung in einer entsprechenden Druckauflösung ist die Kartographische Präsentation des Landes für verschiedenste Publikationen und Präsentationszwecke geeignet. Die Präsentation wird in sechs Varianten angeboten. Für die Ausgabevarianten ist eine jährliche Aktualisierung vorgesehen.
-Dieser Datensatz steht ausschließlich bei online-Abruf kostenfrei zur Verfügung.-"
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=AEA1E584-FE10-427A-A128-7503D89A3C17&elementSetName=full","ATKIS-DOP100 Sachsen-Anhalt","Digitale Orthophotos mit einer Bodenpixelgröße von 100x100cm² (ATKIS®-DOP100) werden aus Luftbildern der Befliegungen des Landes hergestellt. Dabei werden durch Umbildung die perspektivischen Verzerrungen der Luftbilder beseitigt und ein Bild mit Parallelprojektion erzeugt, welches einen über die ganze Bildfläche einheitlichen Maßstab hat. In den Orthophotos können somit Strecken und Flächen gemessen werden."
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=6478473A-F949-44FB-B487-E4C77838270B&elementSetName=full","ATKIS-DLM50 Sachsen-Anhalt","Die Digitalen LandschaftsModelle (DLM) beschreiben die topographischen Objekte der Landschaft im Vektorformat objektstrukturiert, attributiert und mit einem einheitlichen Raumbezug. Die Daten werden zweidimensional modelliert, sind maßstabsfrei und besitzen keine Angaben zur grafischen Ausgestaltung. Das Digitale LandschaftsModell 1:50 000 (ATKIS-DLM50) wird alle 6 Monate aus dem ATKIS-Basis-DLM abgeleitet, wobei eine Vereinfachung der geometrischen Strukturen sowie eine inhaltliche Generalisierung erfolgt.
-Dieser Datensatz steht ausschließlich bei online-Abruf kostenfrei zur Verfügung.-"
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=B6DEE5C5-454D-474E-851A-E8923E2B79AF&elementSetName=full","ATKIS-DOP20 Sachsen-Anhalt (WMS 1.3)","Darstellung der Digitalen Orthophotos mit einer Bodenpixelgröße von 20x20cm² als Web Map Service."
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=2B84C9B8-441C-458F-B1D1-7DA8F22B7057&elementSetName=full","ATKIS-DOP100 Sachsen-Anhalt (WMS 1.3)","Darstellung der Digitalen Orthophotos mit einer Bodenpixelgröße von 100x100cm² als Web Map Service."
"https://metaver.de/csw?REQUEST=GetRecordById&SERVICE=CSW&VERSION=2.0.2&id=5AB24BD9-178E-41AF-B54B-56F2E768BD8B&elementSetName=full","INSPIRE ST Schutzgebiete Naturschutz","Schutzgebiete gemäß Naturschutzgesetz Sachsen-Anhalt und Ramsar-Konvention, 
transformiert ins INSPIRE-Datenmodell für das Thema ""Schutzgebiete"""
